StudentID,Dropout
285848,0
302176,0
301803,0
302756,0
301067,0
297371,1
273211,1
302772,1
280023,0
300412,1
299369,0
303260,1
299997,1
300569,0
299363,0
300635,0
299788,1
302134,0
301723,0
283028,0
294970,0
301192,0
303346,1
304587,1
305182,0
305459,1
303053,1
302328,0
301676,1
300895,0
299456,0
303183,1
298767,1
297755,0
297083,1
303435,1
305281,1
301313,1
303775,1
300221,1
304227,1
301813,0
301624,0
299713,0
293485,1
298859,1
299006,1
301422,1
299959,1
300608,1
304552,0
300586,0
303907,0
299408,1
301562,1
277866,1
303428,0
302917,1
304854,1
303599,1
264697,0
303565,0
304279,0
299396,1
299020,0
301684,1
293205,0
303305,0
268879,0
298895,1
299243,1
301078,1
301377,0
300367,0
301653,0
299272,1
297218,0
299086,0
299972,1
303358,0
297892,1
301309,0
296633,1
302533,0
294406,0
303601,0
302183,1
270506,1
298325,1
298033,1
293611,1
304263,0
301326,1
281368,0
304905,0
300290,1
299495,0
302116,0
302551,0
299115,0
302819,0
304823,1
305310,1
294719,0
302717,1
305260,1
304298,0
72295,1
300240,1
301382,0
258799,0
299293,1
304560,0
300275,0
298966,0
303622,1
294160,0
94804,0
304216,0
302707,1
297627,0
300203,1
301857,1
300303,0
37630,0
84534,0
303227,1
295130,0
295794,0
294755,0
303703,0
279885,0
259621,1
301106,1
301023,1
299655,1
302132,1
301080,1
298900,0
304723,1
305247,1
303722,0
300370,0
303211,1
301601,0
295326,1
235992,1
303503,0
301928,0
282295,1
299240,1
303921,1
302346,0
305044,1
305226,0
296050,1
294698,1
298959,0
296175,0
286282,0
299072,0
304578,0
301493,1
305255,0
299798,1
301764,0
302827,0
292383,1
250478,1
257718,0
301582,0
301583,0
303915,1
304440,1
302131,1
299554,1
303035,0
302202,1
303596,1
302946,0
302354,1
26660,1
301797,0
302770,0
305204,1
304797,0
302629,0
297251,0
304738,1
296844,1
301395,1
304257,0
260331,0
302976,1
252871,1
303232,0
301131,0
301130,1
301634,1
277702,0
277196,1
298452,1
303895,0
298696,1
301346,0
305180,0
297513,0
300416,0
300425,0
298934,0
304610,0
304937,1
281963,1
297198,1
39414,1
305183,0
295509,1
291040,0
304223,0
303236,0
302040,0
234532,0
303486,1
304316,0
302808,0
304266,0
292741,0
302171,1
303077,1
273529,0
288584,0
301468,0
301767,0
300422,0
268001,0
304663,1
260813,0
304849,1
278532,0
283573,0
299299,1
302704,1
302077,0
303071,1
298214,1
302900,1
298985,0
300865,1
300030,1
300664,0
298148,0
300597,1
303060,1
298316,0
301271,1
283668,1
302547,0
296689,0
296698,1
302452,0
297388,1
260559,0
301787,0
290265,0
301745,1
292744,0
297161,0
298252,1
294670,0
302502,0
303583,0
303817,0
305119,1
305298,1
292345,0
297146,1
247693,1
291758,0
258879,0
304604,0
303606,1
301664,1
294616,0
300889,1
282486,0
301625,0
304933,1
304249,0
276063,0
278173,0
304674,1
299844,1
303301,1
297794,0
299434,1
86489,1
297844,1
303769,1
294946,0
296831,1
300544,0
301696,0
299570,0
300407,1
43733,1
298780,0
304741,0
302271,1
298102,1
297572,1
302398,0
303669,1
299485,1
302870,0
302639,1
300964,0
301202,1
302633,1
301530,0
304097,1
298929,0
299017,1
305422,1
267051,0
304879,1
28567,1
302550,1
301600,1
299962,0
300561,1
298727,0
302138,1
296613,1
303926,0
298144,0
303909,1
281128,0
299622,1
302914,0
303088,1
302498,1
302250,1
276902,0
301316,0
301457,1
297766,0
299084,1
301063,1
300588,1
298954,0
299738,1
296527,0
296824,0
301597,0
297124,1
283839,0
297344,1
300953,0
299977,1
303786,0
301077,1
302860,1
304862,1
298740,0
291956,0
302891,0
282665,0
297421,0
305251,1
300674,1
298694,1
304607,1
299630,1
305477,1
297299,1
277848,1
305113,1
303087,0
240831,0
294113,0
304864,1
304642,0
304768,0
304219,0
293311,0
302752,0
262005,0
267763,1
300659,1
280240,1
278138,1
301724,1
302724,1
304814,1
303406,1
298868,0
297239,1
303629,1
301695,0
301303,1
299112,1
301152,1
305279,1
300667,1
301895,1
300650,0
248802,0
301345,0
298838,0
300241,1
300305,0
45090,0
300683,1
263654,1
252417,1
35056,1
297688,1
300056,1
301169,1
302084,0
302611,1
304651,0
304088,1
299068,0
301572,0
293678,0
304466,0
302716,0
77162,1
303937,0
296284,0
302289,1
90940,1
263093,0
201872,1
304701,1
304779,0
276152,0
302321,0
304588,1
271393,0
303995,0
277061,0
287663,0
304526,0
298741,1
299716,1
292823,0
299970,1
34666,0
301871,1
298869,1
300604,1
301901,1
302791,1
296319,1
294428,1
267985,0
297209,1
300756,1
297051,1
304909,0
297882,1
248175,0
300358,0
298284,1
301575,1
275830,1
305084,0
305271,0
304592,1
301532,1
195199,0
302158,0
242035,0
302681,1
206889,0
297677,0
281773,1
303914,1
299687,1
304252,1
303593,1
302220,1
299991,1
301301,1
299944,0
298385,1
300530,1
299822,0
298217,1
303171,1
295143,0
301472,0
299238,0
301320,1
304940,1
299672,0
241161,0
297072,0
297224,0
301860,1
300327,1
259870,0
296886,0
295060,1
289801,1
303585,1
304766,0
298215,0
301298,0
297095,0
301663,0
298141,1
304806,1
302858,0
305479,1
302122,0
63345,0
303401,1
303499,1
304791,1
33332,1
78476,1
103306,0
246448,1
303754,1
305146,1
258805,1
297954,1
301732,0
297632,1
303766,1
301659,0
303759,0
303592,0
270810,1
302885,1
303307,0
304831,1
298527,1
304648,1
302022,1
294410,1
297162,1
300266,0
302439,1
297205,0
297899,1
301099,1
299770,0
302137,1
280676,0
303437,0
305169,0
298860,0
274139,0
301808,1
298889,1
300835,0
303351,0
303015,0
195466,1
302186,0
299711,0
302843,0
304918,1
294583,0
205336,1
301620,0
303988,0
300872,0
